Site,Treatment,Repetition,Nummer,mSoil_Olsen(g),mSoil_H2O(g),Abs_labile(1),Abs_Olsen(1),Abs_Olsen1_10(1),t(min),Abs(1),Pv_labile(mg/L),Pv_Olsen(mg/L),Pv_Olsen1_10(mg/L),Pv(mg/L),Dilution(1),V_H2O(L)
Ellinghausen,0P,2.00,2.00,10.10,10.20,0.57,2.28,NA,10.00,0.40,0.07,0.70,NA,0.07,20.00,0.20
Ellinghausen,0P,2.00,2.00,10.10,10.20,0.57,2.28,NA,20.00,0.42,0.08,0.70,NA,0.08,20.00,0.20
Ellinghausen,0P,2.00,2.00,10.10,10.20,0.57,2.28,NA,30.00,0.41,0.07,0.70,NA,0.07,20.00,0.20
Ellinghausen,0P,2.00,2.00,10.10,10.20,0.57,2.28,NA,45.00,0.41,0.07,0.70,NA,0.07,20.00,0.20
Ellinghausen,0P,2.00,2.00,10.10,10.20,0.57,2.28,NA,60.00,0.42,0.07,0.70,NA,0.07,20.00,0.20
Ellinghausen,166P,1,1,NA,10.03,1.484,NA,NA,2,0.887,0.5487252705,#VALUE!,#VALUE!,0.2995709411,20.00,0.20
Ellinghausen,166P,1,1,NA,10.03,1.484,NA,NA,4,0.905,0.5487252705,,,0.307083132,20.00,0.20
Ellinghausen,166P,1,1,NA,10.03,1.484,NA,NA,12,1.027,0.5487252705,,,0.3579990921,20.00,0.20
Ellinghausen,166P,1,1,NA,10.03,1.484,NA,NA,23,1.103,0.5487252705,,,0.3897172312,20.00,0.20
Ellinghausen,166P,1,1,NA,10.03,1.484,NA,NA,30,1.143,0.5487252705,,,0.4064109886,20.00,0.20
Ellinghausen,166P,1,1,NA,10.03,1.484,NA,NA,43,1.181,0.5487252705,,,0.4222700581,20.00,0.20
Ellinghausen,166P,1,1,NA,10.03,1.484,NA,NA,60,1.193,0.5487252705,,,0.4272781854,20.00,0.20
Ellinghausen,100P,1,2,NA,10.01,0.974,NA,NA,2,0.435,0.3358798635,,,0.1109314824,20.00,0.20
Ellinghausen,100P,1,2,NA,10.01,0.974,NA,NA,4,0.487,0.3358798635,,,0.132633367,20.00,0.20
Ellinghausen,100P,1,2,NA,10.01,0.974,NA,NA,12,0.589,0.3358798635,,,0.1752024484,20.00,0.20
Ellinghausen,100P,1,2,NA,10.01,0.974,NA,NA,23,0.65,0.3358798635,,,0.2006604285,20.00,0.20
Ellinghausen,100P,1,2,NA,10.01,0.974,NA,NA,30,0.67,0.3358798635,,,0.2090073072,20.00,0.20
Ellinghausen,100P,1,2,NA,10.01,0.974,NA,NA,43,0.714,0.3358798635,,,0.2273704403,20.00,0.20
Ellinghausen,100P,1,2,NA,10.01,0.974,NA,NA,60,0.763,0.3358798635,,,0.2478202932,20.00,0.20
Ellinghausen,100P,2,3,NA,10.22,0.593,NA,NA,2,0.34,0.1768718242,,,0.07128380852,20.00,0.20
Ellinghausen,100P,2,3,NA,10.22,0.593,NA,NA,4,0.377,0.1768718242,,,0.08672553413,20.00,0.20
Ellinghausen,100P,2,3,NA,10.22,0.593,NA,NA,12,0.423,0.1768718242,,,0.1059233552,20.00,0.20
Ellinghausen,100P,2,3,NA,10.22,0.593,NA,NA,23,0.443,0.1768718242,,,0.1142702339,20.00,0.20
Ellinghausen,100P,2,3,NA,10.22,0.593,NA,NA,30,0.446,0.1768718242,,,0.1155222657,20.00,0.20
Ellinghausen,100P,2,3,NA,10.22,0.593,NA,NA,43,0.453,0.1768718242,,,0.1184436732,20.00,0.20
Ellinghausen,100P,2,3,NA,10.22,0.593,NA,NA,60,0.461,0.1768718242,,,0.1217824247,20.00,0.20
Oensingen,100P,1,4,NA,10.13,0.539,NA,NA,2,0.365,0.1543352517,,,0.0817174069,20.00,0.20
Oensingen,100P,1,4,NA,10.13,0.539,NA,NA,4,0.37,0.1543352517,,,0.08380412658,20.00,0.20
Oensingen,100P,1,4,NA,10.13,0.539,NA,NA,12,0.392,0.1543352517,,,0.09298569316,20.00,0.20
Oensingen,100P,1,4,NA,10.13,0.539,NA,NA,23,0.401,0.1543352517,,,0.09674178858,20.00,0.20
Oensingen,100P,1,4,NA,10.13,0.539,NA,NA,30,0.395,0.1543352517,,,0.09423772496,20.00,0.20
